Chamber Name,State,# of officials,Districts/Seats,Term Start Date,Party Control,New Districts
Alabama Governor,AL,2,2,2019-01-21,R,No
Alabama House of Representatives,AL,105,All,2018-11-07,R,Yes
Alabama State Senate,AL,70,All,2018-11-07,R,Yes
Alaska Governor,AK,2,2,2018-12-01,I,No
Alaska House of Representatives,AK,40,All,2019-01-28,C,No
Alaska State Senate,AK,10,10,2019-01-28,R,No
Anaheim City Council,CA,3,"Districts 2, 3, 6",2018-12-04,N,No
Anaheim Mayor,CA,1,1,2018-12-04,N,Yes
Ann Arbor City Council,MI,5,One seat from each district,2018-11-12,D,No
Antioch City Council,CA,2,"2 seats, 2 year term",2018-12-01,N,No
Arizona Governor,AZ,1,1,2019-01-07,R,No
Arizona House of Representatives,AZ,60,All,2019-01-14,R,No
Arizona Senate,AZ,30,All,2019-01-14,R,No
Arkansas Governor,AR,2,2,2019-01-08,R,No
Arkansas House of Representatives,AR,100,All,2019-01-14,R,No
Arkansas Senate,AR,18,18,2019-01-14,R,No
Arlington County Board,VA,1,1,2018-12-01,N,No
Augusta Commission,GA,5,5,2019-01-01,N,No
Augusta Mayor,GA,1,1,2019-01-01,N,No
Austin City Council,TX,5,"Districts 1, 3, 5, 8, 9",2019-01-06,N,No
Austin Mayor,TX,1,1,2019-01-06,D,No
Bakersfield City Council,CA,4,"1,3,4,7",2018-11-07,N,No
Berkeley City Council,CA,3,"1,7,8",2018-12-01,N,No
California Governor,CA,2,2,2019-01-07,D,No
California Senate,CA,20,even seats,2018-12-03,D,No
California State Assembly,CA,80,All,2018-12-03,D,No
Carlsbad City Council,CA,3,"1,3, Mayor",2018-11-13,N,Yes
Chula Vista City Council,CA,3,"Mayor, Districts 1, 2",2018-12-04,N,No
City of Coral Springs Commission,,4,"Mayor (2 yrs) Seats 2,4,5 (4 years)",2018-11-13,N,No
Clarksville City Council,TN,6,"1, 2, 6, 7, 10, 11",2019-01-01,N,No
Cole County Commission,,1,Presiding commissioner,2019-01-01,N,No
College Station City Council,TX,2,"4,6",2018-11-08,N,No
Colorado Governor,CO,1,,2019-01-08,D,No
Colorado House of Representatives,CO,65,All,2019-01-09,D,No
Colorado State Senate,CO,18,18,2019-01-09,R,No
Columbus Mayor,GA,1,1,2019-01-07,D,No
Concord City Council,CA,3,odd seats,2018-12-01,N,Yes
Connecticut Governor,CT,2,2,2019-01-08,D,No
Connecticut House of Representatives,CT,151,All,2019-01-09,D,No
Connecticut Senate,CT,36,All,2019-01-09,D,No
Cook County Board of Commissioners,IL,17,All,2018-12-03,D,No
Cook County Board President,IL,1,1,2018-12-03,D,No
Corona City Council,CA,3,"1,4,5",2018-12-01,N,Yes
Corpus Christi City Council,TX,9,all,2018-11-30,N,No
Costa Mesa City Council,CA,3,"3,4,5",2018-12-01,N,Yes
Daly City Council,CA,3,3 of 5,2018-12-10,N,No
Davie Town Council,FL,5,All,2018-11-06,N,No
Delaware House of Representatives,DE,41,All,2018-11-07,D,No
Delaware State Senate,DE,11,11,2018-11-07,D,No
Downey City Council,CA,2,Even,2018-11-06,N,No
El Cajon City Council,CA,1,1 of 5 ,2018-12-01,N,Yes
Elizabeth City Council,NJ,6,1-6,2019-01-01,N,No
Elk Grove City Council,CA,3,"Mayor, 2, 4",2018-12-12,N,Yes
El Monte City Council,CA,3,3,2018-11-06,N,No
Escondido City Council,CA,3,3,2018-12-10,N,No
Fairfield City Council,CA,3,3,2018-11-30,N,No
Florida Governor,FL,2,2,2019-01-08,R,No
Florida House of Representatives,FL,60,All,2018-11-20,R,No
Florida State Senate,FL,20,,2018-11-20,R,No
Fontana City Council,CA,5,3,2018-12-11,N,Yes
Fremont City Council,CA,5,2,2018-12-01,N,Yes
Fresno City Council,CA,4,4,2019-01-08,N,No
Fullerton City Council,CA,5,"Districts 3, 5",2018-11-30,N,Yes
Garden Grove City Council,CA,2,2,2018-12-18,N,No
Gilbert Town Council,AZ,4,4,2019-01-10,N,No
Glendale AZ City Council,AZ,3,"Barrel, Cholla, Ocotillo",2018-12-11,N,No
Georgia Governor,GA,2,2,2019-01-01,R,No
Georgia House of Representatives,GA,90,All,2019-01-14,R,No
Georgia State Senate,GA,56,All,2019-01-14,R,No
Greene County Commission,MO,1,1,2019-01-01,R,No
Gresham City Council,OR,4,4,2019-01-01,N,No
Hawaii Governor,HI,2,2,2018-12-03,D,No
Hawaii House of Representatives,HI,51,All,2018-11-06,D,No
Hawaii Senate,HI,13,13,2018-11-06,D,No
Hayward City Council,CA,3,3,2018-11-13,N,No
Hennepin County Board of Commissioners,MN,3,3,2019-01-01,N,No
Hillsboro City Council,OR,3,3,2019-01-08,N,Yes
Hollywood City Commission,FL,2,2,2018-11-21,N,No
Honolulu City Council,HI,4,4,2019-01-02,N,No
Huntington Beach City Council,CA,4,4,2018-11-26,N,No
Huntsville City Council,AL,3,3,2018-11-12,N,No
Idaho Governor,ID,2,2,2019-01-07,R,No
Idaho House of Representatives,ID,70,All,2018-12-01,R,No
Idaho State Senate,ID,35,All,2018-12-01,R,No
Illinois Governor,IL,2,2,2019-01-14,R,No
Illinois House of Representatives,IL,119,All,2019-01-09,D,No
Illinois State Senate,IL,39,,2019-01-09,D,No
Indiana House of Representatives,IN,100,All,2018-11-06,R,No
Indiana State Senate,IN,25,25,2018-11-06,R,No
Inglewood City Council,CA,1,Mayor,2019-01-31,N,No
Iowa Governor,IA,2,2,2019-01-15,R,No
Iowa House of Representatives,IA,100,All,2019-01-14,R,No
Iowa State Senate,IA,25,odd seats,2019-01-14,R,No
Irvine City Council,CA,4,4,2018-12-01,N,No
Jurupa Valley City Council,CA,2,2,2019-01-01,N,Yes
Kansas Governor,KS,1,,2019-01-14,R,No
Kansas House of Representatives,KS,125,All,2019-01-14,R,No
Kentucky Governor,KY,2,2,2019-12-10,R,No
Kentucky House of Representatives,KY,100,All,2019-01-01,R,No
Kentucky State Senate,KY,38,All,2019-01-01,R,No
Lake County Board of Commissioners,IN,1,1,2019-01-01,D,No
Lake County Council,IN,7,All,2019-01-01,N,No
Laredo City Council,TX,4,"Districts 1, 2, 3, 6",2018-12-01,N,No
Laredo Mayor,TX,1,1,2018-12-01,N,No
Little Rock Board of Directors,AR,5,5,2019-01-01,N,No
Little Rock Mayor,AR,1,1,2019-01-01,N,No
Los Angeles County Board of Supervisors,LA,2,2,2018-12-03,N,No
Louisville Mayor,KY,1,1,2019-01-07,D,No
Louisville Metro Council,KY,26,All,2019-01-07,D,No
Maine Governor,ME,1,,2019-01-01,R,No
Maine House of Representatives,ME,151,All,2018-12-05,C,No
Maine State Senate,ME,35,All,2018-12-05,R,No
Maryland Governor,MD,2,,2019-01-16,R,No
Maryland House of Delegates,MD,141,All,2019-01-09,D,No
Maryland State Senate,MD,47,All,2019-01-09,D,No
Massachusetts Governor,MA,2,,2019-01-03,R,No
Massachusetts House of Representatives,MA,160,All,2019-01-02,D,No
Massachusetts Senate,MA,40,All,2019-01-02,D,No
Mayor of Clarksville,TN,1,1,2019-01-01,N,No
Mayor of Providence,RI,1,1,2019-01-07,D,No
Mecklenburg Board of County Commissioners,NC,9,9,2018-12-04,D,No
Menlo Park City Council,CA,3,3,2018-11-30,N,Yes
Mesa City Council,AZ,6,3,2019-01-08,N,No
Miami-Dade Board of County Commissioners,FL,6,6,2018-11-19,N,No
Miami Gardens City Council,FL,3," Districts 2, 4, 6",2018-12-01,N,No
Michigan Governor,MI,2,,2019-01-01,R,No
Michigan House of Representatives,MI,110,All,2019-01-01,R,No
Michigan State Senate,MI,57,All,2019-01-01,R,No
Midland City Council,TX,4,4,2019-01-01,N,No
Minnesota Governor,MN,2,,2019-01-07,D,No
Minnesota House of Representatives,MN,134,All,2019-01-07,R,No
Missouri House of Representatives,MN,163,All,2019-01-07,R,No
Missouri Senate,MO,17,17,2019-01-07,R,No
Montana House of Representatives,MO,100,All,2019-01-07,R,No
Montana State Senate,MO,25,25,2019-01-07,R,No
Montgomery County Council,MD,9,All,2018-12-03,D,No
Montgomery County Executive,MD,1,1,2018-12-03,D,No
Moreno Valley City Council,CA,3,3,2019-01-15,N,No
Murrieta City Council,CA,3,3,2018-12-04,N,Yes
Nebraska Governor,NE,2,,2019-01-03,N,No
Nebraska Unicameral Legislature,NE,49,49,2019-01-09,N,No
Nevada Governor,NV,2,,2019-01-07,R,No
Nevada State Assembly,NV,42,All,2018-11-07,D,No
Nevada State Senate,NV,11,11,2018-11-07,D,No
New Hampshire Governor,NH,1,,2019-01-01,R,No
New Hampshire House of Representatives,NH,401,All,2018-12-05,R,No
New Hampshire State Senate,NH,24,All,2018-12-05,R,No
New Mexico Governor,NM,2,,2019-01-01,R,No
New Mexico House of Representatives,NM,70,All,2019-01-15,D,No
New York Governor,NY,2,,2019-01-01,D,No
New York State Assembly,NY,150,All,2019-01-01,D,No
New York State Senate,NY,63,All,2019-01-01,C,No
North Carolina House of Representatives,NC,120,All,2019-01-01,R,Yes
North Carolina Senate,NC,50,All,2019-01-01,R,Yes
North Dakota House of Representatives,ND,94,All,2018-12-01,R,No
North Dakota Senate,ND,24,odd seats,2018-12-01,R,No
Oakland City Council,CA,3,3,2019-01-07,N,No
Oakland Mayor,CA,1,1,2019-01-07,N,No
Oceanside City Council,CA,2,"Districts 1, 2",2018-12-04,N,Yes
Odessa City Council,TX,3,3,2018-11-13,N,No
Ohio Governor,OH,2,,2019-01-14,R,No
Ohio House of Representatives,OH,99,All,2019-01-01,R,No
Ohio Senate,OH,17,odd seats,2019-01-01,R,No
Oklahoma Governor,OK,2,,2019-01-14,R,No
Oklahoma House of Representatives,OK,101,All,2018-11-21,R,No
Oklahoma Senate,OK,36,36,2018-11-21,R,No
Ontario City Council,CA,3,3,2018-11-30,N,No
Orange City Council,CA,3,3,2018-11-30,N,No
Oregon Governor,OR,1,,2019-01-09,D,No
Oregon House of Representatives,OR,60,All,2019-01-07,D,No
Oregon Metro Council,OR,3,3,2019-01-01,N,No
Oregon Metro Council President,OR,1,1,2019-01-01,N,No
Oregon State Senate,OR,15,15,2019-01-07,D,No
Oxnard City Council,CA,3,"Districts 1, 2, 5",2018-12-01,N,Yes
Oxnard Mayor,CA,1,1,2018-12-01,N,No
Palm Bay City Council,FL,3,3,2018-11-06,N,No
Palmdale City Council,CA,3,3,2018-11-30,N,No
Pennsylvania Governor,PA,2,,2019-01-15,D,No
Pennsylvania House of Representatives,PA,204,All,2018-12-01,R,No
Pennsylvania Senate,PA,25,Even seats,2018-12-01,R,No
Peoria AZ City Council,AZ,2,2,2019-01-10,N,No
Pomona City Council,CA,3,3,2018-11-12,N,No
Pompano Beach City Commission,FL,6,All,2018-11-13,N,No
Portland City Council,OR,2,2,2019-01-01,N,No
Port St. Lucie City Council,FL,3,3,2018-11-19,N,Yes
Prince Georges County Council,MD,9,All,2018-12-01,D,No
Prince Georges County Executive,MD,1,1,2018-12-01,D,No
Providence City Council,RI,15,All,2019-01-07,D,No
Rancho Cucamonga City Council,CA,2,"Districts 2, 3",2018-11-30,N,Yes
Reno City Council,NV,3,3,2018-11-07,N,No
Rhode Island Governor,RI,2,1,2019-01-01,D,No
Rhode Island House of Representatives,RI,75,All,2019-01-01,D,No
Rhode Island Senate,RI,37,All,2019-01-01,D,No
Rialto City Council,CA,5,,2018-12-01,N,No
Richland County Council,SC,11,,2019-01-01,N,No
Richmond City Council,VA,4,4,2019-01-08,N,No
Rochester City Council,MN,3,"Districts 1, 3, 5",2019-01-07,N,No
Rochester Mayor,MN,1,1,2019-01-15,N,No
Roseville City Council,CA,2,2,2018-12-05,N,No
Salem City Council,OR,5,5,2019-01-01,N,No
Salinas City Council,CA,4,4,2018-11-13,N,No
San Bernardino City Council,CA,3,3,2019-01-01,N,No
San Bernardino Mayor,CA,1,1,2019-01-01,N,No
San Diego City Council,CA,4,4,2018-12-03,D,No
San Francisco Board of Supervisors,CA,6,6,2019-01-08,D,No
San Jose City Council,CA,5,5,2019-01-01,N,No
San Jose Mayor,CA,1,1,2019-01-01,N,No
Santa Ana City Council,CA,3,3,2018-12-11,N,No
Santa Clara City Council,CA,3,3,2019-01-01,N,Yes
Santa Clarita City Council,CA,3,3,2018-12-11,N,No
Santa Maria City Council,CA,2,"Districts 3, 4",2018-12-18,N,Yes
Santa Rosa City Council,CA,3,3,2018-11-30,N,Yes
Scottsdale City Council,AZ,3,3,2019-01-08,N,No
Simi Valley City Council,CA,3,3,2018-12-01,N,No
South Carolina Governor,SC,2,,2019-01-09,R,No
South Carolina House of Representatives,SC,124,All,2018-11-12,R,No
South Dakota Governor,SD,2,,2019-01-08,R,No
South Dakota House of Representatives,SD,70,All,2019-01-15,R,No
South Dakota State Senate,SD,35,All,2019-01-15,R,No
St. Charles County Council,MO,3,3,2019-01-01,N,No
St. Charles County Executive,MO,1,1,2019-01-01,N,No
St. Louis County Council,MO,4,4,2019-01-01,D,No
St. Louis County Executive,MO,1,1,2019-01-01,N,No
Stockton City Council,CA,3,3,2019-01-01,N,No
Sunnyvale City Council,CA,3,3,2018-12-31,N,No
Surprise City Council,AZ,4,4,2019-01-01,N,No
Tallahassee City Commission,FL,2,2,2018-12-01,N,No
Tallahassee Mayor,FL,1,1,2018-12-01,N,No
Temecula City Council,CA,3,3,2018-11-30,N,Yes
Tennessee Governor,TN,2,,2019-01-19,R,No
Tennessee House of Representatives,TN,99,All,2019-01-08,R,No
Tennessee State Senate,TN,17,17,2019-01-08,R,No
Texas Governor,TN,2,,2019-01-01,R,No
Texas House of Representatives,TX,150,All,2019-01-08,R,No
The Senate of Texas,TX,16,16,2019-01-08,R,No
Thousand Oaks City Council,CA,3,3,2018-12-01,N,No
United States House of Representatives,,441,,2019-01-03,R,Yes
United States Senate,,100,,2019-01-03,R,No
Utah House of Representatives,UT,75,All,2019-01-01,R,No
Utah State Senate,UT,15,15,2019-01-01,R,No
Vallejo City Council,CA,3,3,2019-01-01,N,No
Vancouver City Council,WA,7,,2019-01-01,N,No
